timestamp,machine_id,operator_id,engine_hours,fuel_used_l,load_cycles,idling_time_min,seatbelt_status,distance_to_nearest_object_m,safety_alert_triggered,training_completed_recent
2026-07-26T17:04:34Z,M-01,OP-10,1923.4,9.0,32,30.6,Fastened,18.3,No,No
2026-07-26T19:15:58Z,M-06,OP-09,4362.7,24.1,77,35.5,Fastened,4.8,No,No
2026-07-27T00:50:32Z,M-01,OP-11,3997.6,44.4,15,42.6,Fastened,17.3,No,Yes
2026-07-27T02:05:58Z,M-05,OP-13,236.8,3.1,20,29.6,Fastened,7.4,No,Yes
2026-07-27T05:30:21Z,M-10,OP-07,2061.9,43.8,9,90.0,Fastened,11.1,Yes,Yes
2026-07-27T10:44:04Z,M-08,OP-09,466.4,32.8,13,37.0,Fastened,4.6,No,No
2026-07-27T12:59:30Z,M-03,OP-03,4195.3,49.5,65,16.4,Fastened,17.2,No,Yes
2026-07-27T14:46:53Z,M-10,OP-04,4065.8,15.9,86,14.1,Fastened,13.3,No,Yes
2026-07-28T00:11:20Z,M-02,OP-06,2578.8,46.8,93,78.7,Unfastened,6.5,Yes,No
2026-07-28T03:58:02Z,M-08,OP-04,3427.1,1.2,96,0.0,Fastened,8.4,No,Yes
2026-07-28T07:35:48Z,M-05,OP-12,4614.3,28.4,94,29.2,Fastened,14.0,No,No
2026-07-28T08:40:00Z,M-01,OP-01,3897.4,32.1,62,17.4,Fastened,18.3,No,Yes
2026-07-28T17:26:35Z,M-02,OP-07,2149.8,21.6,70,46.6,Fastened,7.7,Yes,Yes
2026-07-28T23:26:15Z,M-07,OP-14,3776.9,30.5,68,33.4,Fastened,19.8,No,Yes
2026-07-29T03:05:45Z,M-02,OP-03,1441.1,36.7,98,28.0,Fastened,14.1,No,Yes
2026-07-29T04:33:10Z,M-09,OP-10,254.7,46.2,38,22.6,Fastened,13.3,No,No
2026-07-29T07:18:35Z,M-09,OP-04,2772.1,10.4,43,14.5,Fastened,11.2,No,Yes
2026-07-29T09:07:23Z,M-04,OP-02,4252.7,31.9,78,19.9,Fastened,15.2,No,Yes
2026-07-29T14:50:33Z,M-07,OP-10,3463.9,1.3,32,15.3,Fastened,13.9,No,No
2026-07-29T18:00:55Z,M-07,OP-06,452.9,11.3,63,65.2,Fastened,17.7,Yes,No
2026-07-29T23:01:46Z,M-09,OP-13,131.0,12.1,45,28.6,Fastened,6.8,No,Yes
2026-07-29T23:01:51Z,M-06,OP-11,634.3,7.3,89,36.5,Fastened,3.4,No,Yes
2026-07-29T23:05:56Z,M-05,OP-11,3695.4,23.3,24,34.9,Fastened,3.9,No,Yes
2026-07-29T23:47:42Z,M-06,OP-05,4031.0,8.5,80,19.5,Fastened,8.5,No,Yes
2026-07-30T12:38:42Z,M-02,OP-11,3107.3,22.9,1,22.4,Fastened,12.5,No,Yes
2026-07-30T13:53:36Z,M-07,OP-02,585.5,4.4,52,14.5,Fastened,13.2,No,Yes
2026-07-30T17:36:33Z,M-02,OP-11,2056.0,33.4,52,13.8,Fastened,9.9,No,Yes
2026-07-30T19:42:39Z,M-01,OP-15,2379.6,31.0,79,47.6,Fastened,8.6,Yes,No
2026-07-30T23:47:02Z,M-10,OP-08,3464.6,49.4,86,57.5,Fastened,13.5,Yes,No
2026-07-31T00:07:09Z,M-01,OP-09,929.9,16.2,12,27.8,Fastened,5.0,No,No
2026-07-31T00:26:26Z,M-07,OP-06,587.5,3.0,4,47.7,Fastened,3.8,Yes,No
2026-07-31T01:20:14Z,M-06,OP-12,18.1,3.1,94,25.4,Fastened,14.0,No,No
