task_id,machine_id,operator_id,timestamp,task_type,weather,operator_skill,machine_age_yrs,estimated_time_min,actual_time_min
T057,M-01,OP-04,2026-07-26T21:59:44Z,Material Loading,Windy,Expert,7,31,37
T094,M-07,OP-06,2026-07-27T18:50:08Z,Earth Excavation,Sunny,Expert,5,46,41
T101,M-02,OP-07,2026-07-27T18:57:03Z,Earth Excavation,Windy,Intermediate,9,50,62
T005,M-09,OP-01,2026-07-27T23:15:38Z,Trenching,Cloudy,Expert,6,52,51
T029,M-09,OP-02,2026-07-29T00:40:01Z,Grading,Sunny,Expert,3,37,35
T125,M-04,OP-08,2026-07-29T04:25:42Z,Earth Excavation,Cloudy,Intermediate,4,70,80
T126,M-09,OP-08,2026-07-29T07:49:46Z,Earth Excavation,Rainy,Intermediate,8,54,66
T002,M-06,OP-01,2026-07-29T16:51:17Z,Trenching,Sunny,Expert,5,50,48
T014,M-08,OP-01,2026-07-29T17:40:00Z,Earth Excavation,Rainy,Expert,3,48,53
T037,M-03,OP-03,2026-07-30T01:39:08Z,Trenching,Windy,Expert,4,39,43
T204,M-07,OP-13,2026-07-30T02:40:58Z,Grading,Windy,Intermediate,5,35,39
T024,M-08,OP-02,2026-07-30T04:07:19Z,Trenching,Cloudy,Expert,9,43,44
T165,M-08,OP-11,2026-07-30T06:53:32Z,Demolition,Sunny,Intermediate,9,91,135
T129,M-03,OP-08,2026-07-30T07:47:34Z,Earth Excavation,Rainy,Intermediate,5,56,66
T208,M-05,OP-13,2026-07-30T23:08:42Z,Demolition,Sunny,Intermediate,1,99,105
T199,M-03,OP-13,2026-07-31T02:01:23Z,Trenching,Sunny,Intermediate,1,51,50
T010,M-02,OP-01,2026-07-31T03:56:16Z,Material Loading,Windy,Expert,6,33,36
T006,M-01,OP-01,2026-07-31T11:25:49Z,Demolition,Windy,Expert,10,89,94
T191,M-09,OP-12,2026-07-31T11:56:04Z,Trenching,Windy,Expert,7,40,39
T059,M-07,OP-04,2026-07-31T23:05:26Z,Demolition,Windy,Expert,4,104,100
T035,M-08,OP-03,2026-07-31T23:36:49Z,Trenching,Cloudy,Expert,6,46,48
T244,M-06,OP-15,2026-08-01T06:04:42Z,Demolition,Cloudy,Intermediate,9,84,101
T246,M-06,OP-15,2026-08-02T04:43:25Z,Demolition,Sunny,Intermediate,4,82,91
T234,M-06,OP-15,2026-08-02T18:36:31Z,Grading,Rainy,Intermediate,7,47,55
T089,M-05,OP-06,2026-08-02T19:26:00Z,Earth Excavation,Windy,Expert,2,54,55
T221,M-01,OP-14,2026-08-02T21:30:01Z,Material Loading,Windy,Expert,3,24,24
T212,M-08,OP-13,2026-08-03T05:10:34Z,Demolition,Cloudy,Intermediate,10,88,88
T067,M-06,OP-05,2026-08-03T05:20:15Z,Earth Excavation,Sunny,Intermediate,7,49,61
T120,M-06,OP-08,2026-08-03T07:27:52Z,Material Loading,Windy,Intermediate,4,36,38
T238,M-03,OP-15,2026-08-03T15:38:05Z,Grading,Cloudy,Intermediate,10,43,49
T102,M-02,OP-07,2026-08-03T18:55:40Z,Material Loading,Rainy,Intermediate,7,23,31
T108,M-04,OP-07,2026-08-04T00:13:57Z,Earth Excavation,Sunny,Intermediate,9,58,59
T183,M-10,OP-12,2026-08-04T01:24:47Z,Grading,Rainy,Expert,6,42,48
T113,M-04,OP-07,2026-08-04T11:04:48Z,Trenching,Rainy,Intermediate,5,50,57
T021,M-07,OP-02,2026-08-04T11:05:37Z,Demolition,Cloudy,Expert,4,83,81
T063,M-07,OP-05,2026-08-04T12:17:37Z,Demolition,Windy,Intermediate,3,89,112
T055,M-06,OP-04,2026-08-04T15:11:39Z,Material Loading,Cloudy,Expert,9,26,24
T172,M-03,OP-11,2026-08-05T03:32:30Z,Material Loading,Rainy,Intermediate,8,19,30
T218,M-08,OP-14,2026-08-05T17:00:40Z,Demolition,Windy,Expert,10,97,107
